Date    ItemName    Qty    UnitPrice    TotalSales    RoyaltyFee
2026/04/07    Entry-E3    5    30000    150000    7500
2026/04/11    Entry-E3    1    30000    30000    1500
2026/04/03    RF-Test-Jig    39    15000    585000    29250
2026/04/07    Flagship-X1    31    120000    3720000    186000
2026/04/05    Flagship-X1    15    120000    1800000    90000
2026/04/11    MidRange-M2    50    65000    3250000    162500
2026/04/14    MidRange-M2    15    65000    975000    48750
2026/04/06    Entry-E3    20    30000    600000    30000
2026/04/07    Antenna-Module    4    8000    32000    1600
2026/04/15    Flagship-X1    4    120000    480000    24000
2026/04/03    Entry-E3    25    30000    750000    37500
2026/04/14    Flagship-X1    29    120000    3480000    174000
2026/04/13    Antenna-Module    39    8000    312000    15600
2026/04/13    Antenna-Module    10    8000    80000    4000
2026/04/08    Antenna-Module    11    8000    88000    4400
2026/04/09    Flagship-X1    17    120000    2040000    102000
2026/04/07    Antenna-Module    29    8000    232000    11600
2026/04/01    RF-Test-Jig    45    15000    675000    33750
2026/04/03    Antenna-Module    47    8000    376000    18800
2026/04/09    Antenna-Module    24    8000    192000    9600
2026/04/01    Flagship-X1    30    120000    3600000    180000
2026/04/13    Antenna-Module    26    8000    208000    10400
2026/04/03    Antenna-Module    10    8000    80000    4000
2026/04/06    MidRange-M2    32    65000    2080000    104000
2026/04/11    Flagship-X1    8    120000    960000    48000
2026/04/08    Entry-E3    37    30000    1110000    55500
2026/04/04    Antenna-Module    43    8000    344000    17200
2026/04/08    RF-Test-Jig    1    15000    15000    750
2026/04/01    Entry-E3    40    30000    1200000    60000
2026/04/02    MidRange-M2    11    65000    715000    35750
2026/04/08    Antenna-Module    18    8000    144000    7200
2026/04/10    Flagship-X1    46    120000    5520000    276000
2026/04/13    MidRange-M2    36    65000    2340000    117000
2026/04/13    RF-Test-Jig    39    15000    585000    29250
2026/04/01    Antenna-Module    27    8000    216000    10800
2026/04/07    RF-Test-Jig    28    15000    420000    21000
2026/04/10    MidRange-M2    22    65000    1430000    71500
2026/04/13    Entry-E3    5    30000    150000    7500
2026/04/13    MidRange-M2    17    65000    1105000    55250
2026/04/04    RF-Test-Jig    3    15000    45000    2250
2026/04/07    MidRange-M2    3    65000    195000    9750
2026/04/02    Entry-E3    26    30000    780000    39000
2026/04/01    Flagship-X1    40    120000    4800000    240000
2026/04/01    MidRange-M2    1    65000    65000    3250
2026/04/14    Flagship-X1    27    120000    3240000    162000
2026/04/12    Antenna-Module    34    8000    272000    13600
2026/04/07    Flagship-X1    1    120000    120000    6000
2026/04/05    Antenna-Module    1    8000    8000    400
2026/04/09    Flagship-X1    3    120000    360000    18000
2026/04/11    RF-Test-Jig    12    15000    180000    9000
2026/04/15    RF-Test-Jig    18    15000    270000    13500
2026/04/13    Antenna-Module    9    8000    72000    3600
2026/04/03    RF-Test-Jig    27    15000    405000    20250
2026/04/06    MidRange-M2    50    65000    3250000    162500
2026/04/06    Entry-E3    32    30000    960000    48000
2026/04/05    Flagship-X1    27    120000    3240000    162000
2026/04/01    Antenna-Module    43    8000    344000    17200
2026/04/08    MidRange-M2    16    65000    1040000    52000
2026/04/06    MidRange-M2    35    65000    2275000    113750
2026/04/15    Entry-E3    44    30000    1320000    66000
2026/04/08    MidRange-M2    16    65000    1040000    52000
2026/04/03    Antenna-Module    12    8000    96000    4800
2026/04/08    Entry-E3    13    30000    390000    19500
2026/04/01    Flagship-X1    12    120000    1440000    72000
2026/04/01    RF-Test-Jig    49    15000    735000    36750
2026/04/11    Entry-E3    28    30000    840000    42000
2026/04/08    RF-Test-Jig    16    15000    240000    12000
2026/04/02    Antenna-Module    29    8000    232000    11600
2026/04/09    Entry-E3    43    30000    1290000    64500
2026/04/15    Entry-E3    32    30000    960000    48000
2026/04/05    Flagship-X1    39    120000    4680000    234000
2026/04/05    Entry-E3    18    30000    540000    27000
2026/04/08    MidRange-M2    37    65000    2405000    120250
2026/04/09    Antenna-Module    20    8000    160000    8000
2026/04/04    MidRange-M2    27    65000    1755000    87750
2026/04/05    MidRange-M2    3    65000    195000    9750
2026/04/02    Flagship-X1    46    120000    5520000    276000
2026/04/01    Flagship-X1    24    120000    2880000    144000
2026/04/12    Flagship-X1    43    120000    5160000    258000
2026/04/12    Entry-E3    44    30000    1320000    66000
2026/04/08    RF-Test-Jig    35    15000    525000    26250
2026/04/12    Entry-E3    40    30000    1200000    60000
2026/04/07    Entry-E3    40    30000    1200000    60000
2026/04/03    MidRange-M2    46    65000    2990000    149500
2026/04/08    MidRange-M2    3    65000    195000    9750
2026/04/04    MidRange-M2    45    65000    2925000    146250
2026/04/12    RF-Test-Jig    35    15000    525000    26250
2026/04/15    Entry-E3    5    30000    150000    7500
2026/04/10    RF-Test-Jig    50    15000    750000    37500
2026/04/03    Flagship-X1    40    120000    4800000    240000
2026/04/07    Entry-E3    7    30000    210000    10500
2026/04/09    MidRange-M2    13    65000    845000    42250
2026/04/01    RF-Test-Jig    9    15000    135000    6750
2026/04/02    MidRange-M2    13    65000    845000    42250
2026/04/09    RF-Test-Jig    46    15000    690000    34500
2026/04/12    MidRange-M2    8    65000    520000    26000
2026/04/14    Flagship-X1    22    120000    2640000    132000
2026/04/07    MidRange-M2    9    65000    585000    29250
2026/04/08    Antenna-Module    28    8000    224000    11200
2026/04/09    Antenna-Module    47    8000    376000    18800
2026/04/05    RF-Test-Jig    35    15000    525000    26250
2026/04/11    Entry-E3    31    30000    930000    46500
2026/04/09    RF-Test-Jig    41    15000    615000    30750
2026/04/07    MidRange-M2    26    65000    1690000    84500
2026/04/02    RF-Test-Jig    17    15000    255000    12750
2026/04/02    MidRange-M2    28    65000    1820000    91000
2026/04/14    Flagship-X1    27    120000    3240000    162000
2026/04/09    Flagship-X1    10    120000    1200000    60000
2026/04/09    Flagship-X1    3    120000    360000    18000
2026/04/14    Flagship-X1    24    120000    2880000    144000
2026/04/03    MidRange-M2    33    65000    2145000    107250
2026/04/05    Entry-E3    46    30000    1380000    69000
2026/04/09    MidRange-M2    36    65000    2340000    117000
2026/04/14    Flagship-X1    14    120000    1680000    84000
2026/04/11    Antenna-Module    40    8000    320000    16000
2026/04/15    RF-Test-Jig    30    15000    450000    22500
2026/04/11    Entry-E3    50    30000    1500000    75000
2026/04/08    RF-Test-Jig    10    15000    150000    7500
2026/04/06    MidRange-M2    23    65000    1495000    74750
2026/04/06    Antenna-Module    40    8000    320000    16000
2026/04/12    Antenna-Module    38    8000    304000    15200
2026/04/09    Flagship-X1    37    120000    4440000    222000
2026/04/10    RF-Test-Jig    35    15000    525000    26250
2026/04/06    Flagship-X1    48    120000    5760000    288000
2026/04/09    Antenna-Module    35    8000    280000    14000
2026/04/09    RF-Test-Jig    16    15000    240000    12000
2026/04/10    MidRange-M2    2    65000    130000    6500
2026/04/12    MidRange-M2    15    65000    975000    48750
2026/04/04    Antenna-Module    44    8000    352000    17600
2026/04/05    RF-Test-Jig    29    15000    435000    21750
2026/04/11    Entry-E3    42    30000    1260000    63000
2026/04/03    RF-Test-Jig    15    15000    225000    11250
2026/04/10    Flagship-X1    39    120000    4680000    234000
2026/04/10    RF-Test-Jig    22    15000    330000    16500
2026/04/10    Flagship-X1    27    120000    3240000    162000
2026/04/11    Antenna-Module    38    8000    304000    15200
2026/04/12    RF-Test-Jig    28    15000    420000    21000
2026/04/06    Antenna-Module    5    8000    40000    2000
2026/04/06    Entry-E3    45    30000    1350000    67500
2026/04/06    MidRange-M2    25    65000    1625000    81250
2026/04/11    Antenna-Module    5    8000    40000    2000
2026/04/13    MidRange-M2    39    65000    2535000    126750
2026/04/10    Flagship-X1    2    120000    240000    12000
2026/04/04    RF-Test-Jig    39    15000    585000    29250
2026/04/08    MidRange-M2    27    65000    1755000    87750
2026/04/01    Entry-E3    27    30000    810000    40500
2026/04/02    Antenna-Module    5    8000    40000    2000
2026/04/04    MidRange-M2    17    65000    1105000    55250
2026/04/02    Antenna-Module    9    8000    72000    3600
2026/04/07    MidRange-M2    12    65000    780000    39000
2026/04/09    RF-Test-Jig    21    15000    315000    15750
2026/04/07    Entry-E3    18    30000    540000    27000
2026/04/12    MidRange-M2    50    65000    3250000    162500
2026/04/01    RF-Test-Jig    11    15000    165000    8250
