日付    商品名    数量    製品単価    売上    ロイヤリティ
2026/04/04    Antenna-Module    41    8000    328000    16400
2026/04/04    MidRange-M2    23    65000    1495000    74750
2026/04/07    MidRange-M2    22    65000    1430000    71500
2026/04/04    RF-Test-Jig    21    15000    315000    15750
2026/04/11    Antenna-Module    34    8000    272000    13600
2026/04/01    RF-Test-Jig    15    15000    225000    11250
2026/04/01    Antenna-Module    28    8000    224000    11200
2026/04/13    Flagship-X1    50    120000    6000000    300000
2026/04/04    Entry-E3    42    30000    1260000    63000
2026/04/12    RF-Test-Jig    39    15000    585000    29250
2026/04/02    RF-Test-Jig    49    15000    735000    36750
2026/04/05    Entry-E3    5    30000    150000    7500
2026/04/11    Flagship-X1    30    120000    3600000    180000
2026/04/01    RF-Test-Jig    30    15000    450000    22500
2026/04/02    MidRange-M2    4    65000    260000    13000
2026/04/06    Antenna-Module    4    8000    32000    1600
2026/04/15    Entry-E3    50    30000    1500000    75000
2026/04/07    Antenna-Module    43    8000    344000    17200
2026/04/04    Entry-E3    10    30000    300000    15000
2026/04/13    RF-Test-Jig    40    15000    600000    30000
2026/04/08    RF-Test-Jig    6    15000    90000    4500
2026/04/11    RF-Test-Jig    46    15000    690000    34500
2026/04/15    Antenna-Module    24    8000    192000    9600
2026/04/05    Flagship-X1    38    120000    4560000    228000
2026/04/05    Antenna-Module    6    8000    48000    2400
2026/04/08    Entry-E3    20    30000    600000    30000
2026/04/15    Antenna-Module    36    8000    288000    14400
2026/04/15    RF-Test-Jig    14    15000    210000    10500
2026/04/03    RF-Test-Jig    47    15000    705000    35250
2026/04/02    Flagship-X1    40    120000    4800000    240000
2026/04/07    Flagship-X1    10    120000    1200000    60000
2026/04/09    Flagship-X1    13    120000    1560000    78000
2026/04/02    Flagship-X1    37    120000    4440000    222000
2026/04/13    Flagship-X1    32    120000    3840000    192000
2026/04/01    Antenna-Module    8    8000    64000    3200
2026/04/01    RF-Test-Jig    43    15000    645000    32250
2026/04/03    Antenna-Module    40    8000    320000    16000
2026/04/12    Entry-E3    22    30000    660000    33000
2026/04/01    RF-Test-Jig    35    15000    525000    26250
2026/04/02    RF-Test-Jig    13    15000    195000    9750
2026/04/14    MidRange-M2    30    65000    1950000    97500
2026/04/08    RF-Test-Jig    50    15000    750000    37500
2026/04/14    Entry-E3    24    30000    720000    36000
2026/04/05    Antenna-Module    22    8000    176000    8800
2026/04/14    Flagship-X1    35    120000    4200000    210000
2026/04/05    Antenna-Module    18    8000    144000    7200
2026/04/14    Flagship-X1    23    120000    2760000    138000
2026/04/06    Entry-E3    23    30000    690000    34500
2026/04/14    MidRange-M2    50    65000    3250000    162500
2026/04/10    Flagship-X1    17    120000    2040000    102000
2026/04/05    Flagship-X1    26    120000    3120000    156000
2026/04/07    MidRange-M2    46    65000    2990000    149500
2026/04/05    Entry-E3    28    30000    840000    42000
2026/04/07    Entry-E3    36    30000    1080000    54000
2026/04/07    MidRange-M2    41    65000    2665000    133250
2026/04/07    RF-Test-Jig    11    15000    165000    8250
2026/04/01    RF-Test-Jig    3    15000    45000    2250
2026/04/08    Entry-E3    26    30000    780000    39000
2026/04/13    Flagship-X1    24    120000    2880000    144000
2026/04/03    RF-Test-Jig    7    15000    105000    5250
2026/04/05    Antenna-Module    7    8000    56000    2800
2026/04/03    RF-Test-Jig    11    15000    165000    8250
2026/04/06    MidRange-M2    19    65000    1235000    61750
2026/04/06    Antenna-Module    40    8000    320000    16000
2026/04/14    Flagship-X1    27    120000    3240000    162000
2026/04/07    Entry-E3    2    30000    60000    3000
2026/04/08    Antenna-Module    31    8000    248000    12400
2026/04/12    Entry-E3    18    30000    540000    27000
2026/04/02    Entry-E3    37    30000    1110000    55500
2026/04/04    Antenna-Module    35    8000    280000    14000
2026/04/04    Flagship-X1    12    120000    1440000    72000
2026/04/12    MidRange-M2    5    65000    325000    16250
2026/04/14    Flagship-X1    45    120000    5400000    270000
2026/04/15    MidRange-M2    13    65000    845000    42250
2026/04/05    Entry-E3    40    30000    1200000    60000
2026/04/11    Antenna-Module    5    8000    40000    2000
2026/04/10    MidRange-M2    1    65000    65000    3250
2026/04/05    MidRange-M2    13    65000    845000    42250
2026/04/06    Antenna-Module    48    8000    384000    19200
2026/04/10    MidRange-M2    26    65000    1690000    84500
2026/04/06    Entry-E3    37    30000    1110000    55500
2026/04/06    MidRange-M2    6    65000    390000    19500
2026/04/03    MidRange-M2    1    65000    65000    3250
2026/04/04    Flagship-X1    36    120000    4320000    216000
2026/04/01    RF-Test-Jig    2    15000    30000    1500
2026/04/07    RF-Test-Jig    29    15000    435000    21750
2026/04/09    MidRange-M2    41    65000    2665000    133250
2026/04/07    MidRange-M2    14    65000    910000    45500
2026/04/02    MidRange-M2    14    65000    910000    45500
2026/04/10    Entry-E3    36    30000    1080000    54000
2026/04/09    Antenna-Module    24    8000    192000    9600
2026/04/05    Flagship-X1    6    120000    720000    36000
2026/04/12    Entry-E3    5    30000    150000    7500
2026/04/15    Entry-E3    5    30000    150000    7500
2026/04/02    MidRange-M2    34    65000    2210000    110500
2026/04/01    Antenna-Module    17    8000    136000    6800
2026/04/07    RF-Test-Jig    43    15000    645000    32250
2026/04/14    Flagship-X1    35    120000    4200000    210000
2026/04/07    MidRange-M2    6    65000    390000    19500
2026/04/13    MidRange-M2    24    65000    1560000    78000
2026/04/04    Entry-E3    14    30000    420000    21000
2026/04/14    RF-Test-Jig    3    15000    45000    2250
2026/04/11    Antenna-Module    19    8000    152000    7600
2026/04/11    RF-Test-Jig    39    15000    585000    29250
2026/04/07    RF-Test-Jig    16    15000    240000    12000
2026/04/13    MidRange-M2    38    65000    2470000    123500
2026/04/05    Flagship-X1    9    120000    1080000    54000
2026/04/04    Flagship-X1    48    120000    5760000    288000
2026/04/15    RF-Test-Jig    48    15000    720000    36000
2026/04/01    Entry-E3    31    30000    930000    46500
2026/04/02    MidRange-M2    9    65000    585000    29250
2026/04/07    MidRange-M2    50    65000    3250000    162500
2026/04/07    Entry-E3    21    30000    630000    31500
2026/04/05    Antenna-Module    34    8000    272000    13600
2026/04/11    Entry-E3    27    30000    810000    40500
2026/04/12    RF-Test-Jig    49    15000    735000    36750
2026/04/12    RF-Test-Jig    50    15000    750000    37500
2026/04/07    Entry-E3    12    30000    360000    18000
2026/04/10    Flagship-X1    47    120000    5640000    282000
2026/04/03    Flagship-X1    18    120000    2160000    108000
2026/04/04    Flagship-X1    49    120000    5880000    294000
2026/04/12    Antenna-Module    1    8000    8000    400
2026/04/13    RF-Test-Jig    26    15000    390000    19500
2026/04/01    Antenna-Module    33    8000    264000    13200
2026/04/10    MidRange-M2    23    65000    1495000    74750
2026/04/14    Flagship-X1    44    120000    5280000    264000
2026/04/12    Entry-E3    6    30000    180000    9000
2026/04/02    MidRange-M2    48    65000    3120000    156000
2026/04/14    MidRange-M2    34    65000    2210000    110500
2026/04/02    Entry-E3    8    30000    240000    12000
2026/04/01    MidRange-M2    14    65000    910000    45500
2026/04/06    Entry-E3    45    30000    1350000    67500
2026/04/08    MidRange-M2    47    65000    3055000    152750
2026/04/02    RF-Test-Jig    50    15000    750000    37500
2026/04/13    Antenna-Module    48    8000    384000    19200
2026/04/01    Flagship-X1    29    120000    3480000    174000
2026/04/12    Flagship-X1    49    120000    5880000    294000
2026/04/12    RF-Test-Jig    1    15000    15000    750
2026/04/11    Entry-E3    19    30000    570000    28500
2026/04/11    RF-Test-Jig    36    15000    540000    27000
2026/04/05    Flagship-X1    47    120000    5640000    282000
2026/04/05    RF-Test-Jig    23    15000    345000    17250
2026/04/05    RF-Test-Jig    9    15000    135000    6750
2026/04/08    Flagship-X1    48    120000    5760000    288000
2026/04/14    Flagship-X1    21    120000    2520000    126000
2026/04/12    RF-Test-Jig    41    15000    615000    30750
2026/04/13    Antenna-Module    6    8000    48000    2400
2026/04/15    Entry-E3    38    30000    1140000    57000
2026/04/04    Antenna-Module    1    8000    8000    400
2026/04/07    Entry-E3    42    30000    1260000    63000
2026/04/02    Antenna-Module    26    8000    208000    10400
2026/04/10    RF-Test-Jig    4    15000    60000    3000
2026/04/10    Flagship-X1    27    120000    3240000    162000
2026/04/02    Flagship-X1    14    120000    1680000    84000
2026/04/12    Flagship-X1    6    120000    720000    36000
